Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22u,C45783
C10,0402,1,10u,C15525
"C11, C12, C13",0402,3,1u,C52923
"C2, C5, C6",0603,3,22u,C59461
"C4, C7, C9",0402,3,100n,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",0603,21,LEDR,C2286
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5, R6, R7, R8, R9",0603,21,120,C22787
"R22, R23, R24, R25, R26, R27",0402,6,10k,C25744
"SW1, SW2, SW3",SW_SPST_TL3342,3,SW_Push,C318884
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,SOT-223-3_TabPin2,1,AMS1117-1.8,C347220
U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,1,XC2C64A-7QFG48C,C1519023
"U4, U5, U6",SOIC-16_3.9x9.9mm_P1.27mm,3,ULN2003A,C7512
