Designator,Mid X,Mid Y,Rotation,Layer
C1,12.207632,-3.0,90.0,top
C10,27.724335,1.912168,225.0,top
C11,13.5,-19.2,180.0,top
C12,13.5,-31.2,180.0,top
C13,13.5,-25.2,180.0,top
C2,13.570089,0.350316,270.0,top
C4,34.6,-7.6,315.0,top
C5,12.0,0.3688,270.0,top
C6,22.5,0.0,90.0,top
C7,35.8,0.4,315.0,top
C8,28.124335,-5.687832,135.0,top
C9,28.669458,1.270608,225.0,top
D1,22.0,-21.5,180.0,top
D10,35.5,-30.5,90.0,top
D11,32.5,-33.5,0.0,top
D12,29.5,-30.5,270.0,top
D13,29.5,-24.5,270.0,top
D14,32.5,-27.5,0.0,top
D15,43.0,-21.5,180.0,top
D16,46.0,-24.5,90.0,top
D17,46.0,-30.5,90.0,top
D18,43.0,-33.5,0.0,top
D19,40.0,-30.5,270.0,top
D2,25.0,-24.5,90.0,top
D20,40.0,-24.5,270.0,top
D21,43.0,-27.5,0.0,top
D3,25.0,-30.5,90.0,top
D4,22.0,-33.5,0.0,top
D5,19.0,-30.5,270.0,top
D6,19.0,-24.5,270.0,top
D7,22.0,-27.5,0.0,top
D8,32.5,-21.5,180.0,top
D9,35.5,-24.5,90.0,top
J1,7.0,-11.0,270.0,top
J2,45.400001,-0.8,180.0,top
R1,26.5,-18.0,90.0,top
R10,34.0,-18.0,90.0,top
R11,32.5,-18.0,90.0,top
R12,31.0,-18.0,90.0,top
R13,29.5,-18.0,90.0,top
R14,28.0,-18.0,90.0,top
R15,47.5,-18.0,90.0,top
R16,46.0,-18.0,90.0,top
R17,44.5,-18.0,90.0,top
R18,43.0,-18.0,90.0,top
R19,41.5,-18.0,90.0,top
R2,25.0,-18.0,90.0,top
R20,40.0,-18.0,90.0,top
R21,38.5,-18.0,90.0,top
R22,13.5,-21.5,0.0,top
R23,13.5,-20.4,0.0,top
R24,13.5,-33.5,0.0,top
R25,13.5,-32.4,0.0,top
R26,13.5,-27.5,0.0,top
R27,13.5,-26.4,0.0,top
R3,23.5,-18.0,90.0,top
R4,22.0,-18.0,90.0,top
R5,20.5,-18.0,90.0,top
R6,19.0,-18.0,90.0,top
R7,17.5,-18.0,90.0,top
R8,37.0,-18.0,90.0,top
R9,35.5,-18.0,90.0,top
SW1,8.0,-19.5,0.0,top
SW2,8.0,-31.5,0.0,top
SW3,8.0,-25.5,0.0,top
U1,7.5,-1.0,270.0,top
U2,18.0,-1.0,90.0,top
U3,32.0,-2.6,225.0,top
U4,22.0,-12.5,180.0,top
U5,32.5,-12.5,180.0,top
U6,43.0,-12.5,180.0,top
